"REF_DATE","GEO","price_indexes","house_price"
"1981-01","Calgary, Alberta","Land only","19.4"
"1981-01","Edmonton, Alberta","Total (house and land)","35.8"
"1981-01","Edmonton, Alberta","House only","36.5"
"1981-01","Edmonton, Alberta","Land only","32.7"
"1981-01","British Columbia","Total (house and land)",""
"1981-01","British Columbia","House only",""
"1981-01","British Columbia","Land only",""
"1981-01","Kelowna, British Columbia","Total (house and land)",""
"1981-01","Kelowna, British Columbia","House only",""
"1981-01","Kelowna, British Columbia","Land only",""
"1981-01","Vancouver, British Columbia","Total (house and land)","90.5"
"1981-01","Vancouver, British Columbia","House only","96.1"
"1981-01","Vancouver, British Columbia","Land only","83.5"
"1981-01","Victoria, British Columbia","Total (house and land)","128.7"
"1981-01","Victoria, British Columbia","House only","206.8"
"1981-01","Victoria, British Columbia","Land only","50.5"
"1981-02","Canada","Total (house and land)","38.7"
"1981-02","Canada","House only","36.5"
"1981-02","Canada","Land only","41.0"
"1981-02","Atlantic Region","Total (house and land)",""
"1981-02","Atlantic Region","House only",""
"1981-02","Atlantic Region","Land only",""
"1981-02","Newfoundland and Labrador","Total (house and land)",""
"1981-02","Newfoundland and Labrador","House only",""
"1981-02","Newfoundland and Labrador","Land only",""
"1981-02","St. John's, Newfoundland and Labrador","Total (house and land)","36.2"
"1981-02","St. John's, Newfoundland and Labrador","House only","37.5"
"1981-02","St. John's, Newfoundland and Labrador","Land only","31.8"
"1981-02","Prince Edward Island","Total (house and land)",""
"1981-02","Prince Edward Island","House only",""
"1981-02","Prince Edward Island","Land only",""
"1981-02","Charlottetown, Prince Edward Island","Total (house and land)",""
"1981-02","Charlottetown, Prince Edward Island","House only",""
"1981-02","Charlottetown, Prince Edward Island","Land only",""
"1981-02","Nova Scotia","Total (house and land)",""
"1981-02","Nova Scotia","House only",""
"1981-02","Nova Scotia","Land only",""
"1981-02","Halifax, Nova Scotia","Total (house and land)",""
"1981-02","Halifax, Nova Scotia","House only",""
"1981-02","Halifax, Nova Scotia","Land only","32.5"
"1981-02","New Brunswick","Total (house and land)",""
"1981-02","New Brunswick","House only",""
"1981-02","New Brunswick","Land only",""
