"REF_DATE","GEO","price_indexes","house_price"
"1984-07","Saskatchewan","Total (house and land)",""
"1984-07","Saskatchewan","House only",""
"1984-07","Saskatchewan","Land only",""
"1984-07","Regina, Saskatchewan","Total (house and land)","23.2"
"1984-07","Regina, Saskatchewan","House only","23.3"
"1984-07","Regina, Saskatchewan","Land only","22.8"
"1984-07","Saskatoon, Saskatchewan","Total (house and land)","34.7"
"1984-07","Saskatoon, Saskatchewan","House only","37.1"
"1984-07","Saskatoon, Saskatchewan","Land only","29.2"
"1984-07","Alberta","Total (house and land)",""
"1984-07","Alberta","House only",""
"1984-07","Alberta","Land only",""
"1984-07","Calgary, Alberta","Total (house and land)","21.7"
"1984-07","Calgary, Alberta","House only","22.9"
"1984-07","Calgary, Alberta","Land only","18.5"
"1984-07","Edmonton, Alberta","Total (house and land)","31.1"
"1984-07","Edmonton, Alberta","House only","33.1"
"1984-07","Edmonton, Alberta","Land only","25.9"
"1984-07","British Columbia","Total (house and land)",""
"1984-07","British Columbia","House only",""
"1984-07","British Columbia","Land only",""
"1984-07","Kelowna, British Columbia","Total (house and land)",""
"1984-07","Kelowna, British Columbia","House only",""
"1984-07","Kelowna, British Columbia","Land only",""
"1984-07","Vancouver, British Columbia","Total (house and land)","67.4"
"1984-07","Vancouver, British Columbia","House only","76.9"
"1984-07","Vancouver, British Columbia","Land only","55.8"
"1984-07","Victoria, British Columbia","Total (house and land)","102.2"
"1984-07","Victoria, British Columbia","House only","182.1"
"1984-07","Victoria, British Columbia","Land only","34.1"
"1984-08","Canada","Total (house and land)","38.0"
"1984-08","Canada","House only","37.3"
"1984-08","Canada","Land only","37.4"
"1984-08","Atlantic Region","Total (house and land)",""
"1984-08","Atlantic Region","House only",""
"1984-08","Atlantic Region","Land only",""
"1984-08","Newfoundland and Labrador","Total (house and land)",""
"1984-08","Newfoundland and Labrador","House only",""
"1984-08","Newfoundland and Labrador","Land only",""
"1984-08","St. John's, Newfoundland and Labrador","Total (house and land)","37.9"
"1984-08","St. John's, Newfoundland and Labrador","House only","38.9"
"1984-08","St. John's, Newfoundland and Labrador","Land only","33.9"
"1984-08","Prince Edward Island","Total (house and land)",""
"1984-08","Prince Edward Island","House only",""
"1984-08","Prince Edward Island","Land only",""
"1984-08","Charlottetown, Prince Edward Island","Total (house and land)",""
"1984-08","Charlottetown, Prince Edward Island","House only",""
"1984-08","Charlottetown, Prince Edward Island","Land only",""
"1984-08","Nova Scotia","Total (house and land)",""
"1984-08","Nova Scotia","House only",""
"1984-08","Nova Scotia","Land only",""
"1984-08","Halifax, Nova Scotia","Total (house and land)","46.8"
"1984-08","Halifax, Nova Scotia","House only","47.9"
"1984-08","Halifax, Nova Scotia","Land only","42.6"
"1984-08","New Brunswick","Total (house and land)",""
"1984-08","New Brunswick","House only",""
"1984-08","New Brunswick","Land only",""
"1984-08","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","64.4"
"1984-08","Saint John, Fredericton, and Moncton, New Brunswick","House only","69.2"
"1984-08","Saint John, Fredericton, and Moncton, New Brunswick","Land only","48.8"
"1984-08","Quebec","Total (house and land)",""
"1984-08","Quebec","House only",""
"1984-08","Quebec","Land only",""
"1984-08","Québec, Quebec","Total (house and land)","37.5"
"1984-08","Québec, Quebec","House only","43.5"
"1984-08","Québec, Quebec","Land only","24.5"
"1984-08","Sherbrooke, Quebec","Total (house and land)",""
"1984-08","Sherbrooke, Quebec","House only",""
"1984-08","Sherbrooke, Quebec","Land only",""
"1984-08","Trois-Rivières, Quebec","Total (house and land)",""
"1984-08","Trois-Rivières, Quebec","House only",""
"1984-08","Trois-Rivières, Quebec","Land only",""
"1984-08","Montréal, Quebec","Total (house and land)","35.8"
"1984-08","Montréal, Quebec","House only","36.9"
"1984-08","Montréal, Quebec","Land only","31.2"
"1984-08","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1984-08","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1984-08","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
"1984-08","Ontario","Total (house and land)",""
"1984-08","Ontario","House only",""
"1984-08","Ontario","Land only",""
"1984-08","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Total (house and land)","44.1"
"1984-08","Ottawa-Gatineau, Ontario part, Ontario/Quebec","House only","43.4"
"1984-08","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Land only","49.4"
"1984-08","Oshawa, Ontario","Total (house and land)",""
"1984-08","Oshawa, Ontario","House only",""
"1984-08","Oshawa, Ontario","Land only",""
"1984-08","Toronto, Ontario","Total (house and land)","30.7"
"1984-08","Toronto, Ontario","House only","26.3"
"1984-08","Toronto, Ontario","Land only","38.9"
"1984-08","Hamilton, Ontario","Total (house and land)","37.3"
"1984-08","Hamilton, Ontario","House only","31.6"
"1984-08","Hamilton, Ontario","Land only","52.8"
"1984-08","St. Catharines-Niagara, Ontario","Total (house and land)","35.1"
"1984-08","St. Catharines-Niagara, Ontario","House only","32.6"
"1984-08","St. Catharines-Niagara, Ontario","Land only","41.2"
"1984-08","Kitchener-Cambridge-Waterloo, Ontario","Total (house and land)","39.3"
"1984-08","Kitchener-Cambridge-Waterloo, Ontario","House only","35.9"
"1984-08","Kitchener-Cambridge-Waterloo, Ontario","Land only","47.5"
"1984-08","Guelph, Ontario","Total (house and land)",""
"1984-08","Guelph, Ontario","House only",""
"1984-08","Guelph, Ontario","Land only",""
"1984-08","London, Ontario","Total (house and land)","36.4"
"1984-08","London, Ontario","House only","32.1"
"1984-08","London, Ontario","Land only","51.3"
"1984-08","Windsor, Ontario","Total (house and land)","59.3"
"1984-08","Windsor, Ontario","House only","64.1"
"1984-08","Windsor, Ontario","Land only","42.5"
"1984-08","Greater Sudbury, Ontario","Total (house and land)","62.1"
"1984-08","Greater Sudbury, Ontario","House only","63.9"
"1984-08","Greater Sudbury, Ontario","Land only","55.4"
"1984-08","Prairie Region","Total (house and land)",""
"1984-08","Prairie Region","House only",""
"1984-08","Prairie Region","Land only",""
"1984-08","Manitoba","Total (house and land)",""
"1984-08","Manitoba","House only",""
"1984-08","Manitoba","Land only",""
"1984-08","Winnipeg, Manitoba","Total (house and land)","32.1"
"1984-08","Winnipeg, Manitoba","House only","35.4"
"1984-08","Winnipeg, Manitoba","Land only","23.8"
"1984-08","Saskatchewan","Total (house and land)",""
"1984-08","Saskatchewan","House only",""
"1984-08","Saskatchewan","Land only",""
"1984-08","Regina, Saskatchewan","Total (house and land)","23.0"
"1984-08","Regina, Saskatchewan","House only","22.6"
"1984-08","Regina, Saskatchewan","Land only","24.0"
"1984-08","Saskatoon, Saskatchewan","Total (house and land)","34.7"
"1984-08","Saskatoon, Saskatchewan","House only","37.1"
"1984-08","Saskatoon, Saskatchewan","Land only","29.3"
"1984-08","Alberta","Total (house and land)",""
"1984-08","Alberta","House only",""
"1984-08","Alberta","Land only",""
"1984-08","Calgary, Alberta","Total (house and land)","21.6"
"1984-08","Calgary, Alberta","House only","22.7"
"1984-08","Calgary, Alberta","Land only","18.8"
"1984-08","Edmonton, Alberta","Total (house and land)","31.0"
"1984-08","Edmonton, Alberta","House only","33.0"
"1984-08","Edmonton, Alberta","Land only","25.8"
"1984-08","British Columbia","Total (house and land)",""
"1984-08","British Columbia","House only",""
"1984-08","British Columbia","Land only",""
"1984-08","Kelowna, British Columbia","Total (house and land)",""
"1984-08","Kelowna, British Columbia","House only",""
"1984-08","Kelowna, British Columbia","Land only",""
"1984-08","Vancouver, British Columbia","Total (house and land)","67.1"
"1984-08","Vancouver, British Columbia","House only","76.5"
"1984-08","Vancouver, British Columbia","Land only","55.6"
"1984-08","Victoria, British Columbia","Total (house and land)","100.6"
"1984-08","Victoria, British Columbia","House only","177.2"
"1984-08","Victoria, British Columbia","Land only","34.1"
"1984-09","Canada","Total (house and land)","37.9"
"1984-09","Canada","House only","37.2"
"1984-09","Canada","Land only","37.3"
"1984-09","Atlantic Region","Total (house and land)",""
"1984-09","Atlantic Region","House only",""
"1984-09","Atlantic Region","Land only",""
"1984-09","Newfoundland and Labrador","Total (house and land)",""
"1984-09","Newfoundland and Labrador","House only",""
"1984-09","Newfoundland and Labrador","Land only",""
"1984-09","St. John's, Newfoundland and Labrador","Total (house and land)","38.0"
"1984-09","St. John's, Newfoundland and Labrador","House only","38.9"
"1984-09","St. John's, Newfoundland and Labrador","Land only","34.2"
"1984-09","Prince Edward Island","Total (house and land)",""
"1984-09","Prince Edward Island","House only",""
"1984-09","Prince Edward Island","Land only",""
"1984-09","Charlottetown, Prince Edward Island","Total (house and land)",""
"1984-09","Charlottetown, Prince Edward Island","House only",""
"1984-09","Charlottetown, Prince Edward Island","Land only",""
"1984-09","Nova Scotia","Total (house and land)",""
"1984-09","Nova Scotia","House only",""
"1984-09","Nova Scotia","Land only",""
"1984-09","Halifax, Nova Scotia","Total (house and land)","46.8"
"1984-09","Halifax, Nova Scotia","House only","47.9"
"1984-09","Halifax, Nova Scotia","Land only","42.6"
"1984-09","New Brunswick","Total (house and land)",""
"1984-09","New Brunswick","House only",""
"1984-09","New Brunswick","Land only",""
"1984-09","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","64.4"
"1984-09","Saint John, Fredericton, and Moncton, New Brunswick","House only","69.2"
"1984-09","Saint John, Fredericton, and Moncton, New Brunswick","Land only","48.8"
"1984-09","Quebec","Total (house and land)",""
"1984-09","Quebec","House only",""
"1984-09","Quebec","Land only",""
"1984-09","Québec, Quebec","Total (house and land)","37.6"
"1984-09","Québec, Quebec","House only","43.7"
"1984-09","Québec, Quebec","Land only","24.6"
"1984-09","Sherbrooke, Quebec","Total (house and land)",""
"1984-09","Sherbrooke, Quebec","House only",""
"1984-09","Sherbrooke, Quebec","Land only",""
"1984-09","Trois-Rivières, Quebec","Total (house and land)",""
"1984-09","Trois-Rivières, Quebec","House only",""
"1984-09","Trois-Rivières, Quebec","Land only",""
"1984-09","Montréal, Quebec","Total (house and land)","35.9"
"1984-09","Montréal, Quebec","House only","36.9"
"1984-09","Montréal, Quebec","Land only","32.3"
"1984-09","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1984-09","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1984-09","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
"1984-09","Ontario","Total (house and land)",""
"1984-09","Ontario","House only",""
"1984-09","Ontario","Land only",""
"1984-09","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Total (house and land)","43.6"
"1984-09","Ottawa-Gatineau, Ontario part, Ontario/Quebec","House only","42.6"
"1984-09","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Land only","50.1"
"1984-09","Oshawa, Ontario","Total (house and land)",""
"1984-09","Oshawa, Ontario","House only",""
"1984-09","Oshawa, Ontario","Land only",""
"1984-09","Toronto, Ontario","Total (house and land)","30.7"
"1984-09","Toronto, Ontario","House only","26.3"
"1984-09","Toronto, Ontario","Land only","38.9"
"1984-09","Hamilton, Ontario","Total (house and land)","37.4"
"1984-09","Hamilton, Ontario","House only","31.7"
"1984-09","Hamilton, Ontario","Land only","52.8"
"1984-09","St. Catharines-Niagara, Ontario","Total (house and land)","35.3"
"1984-09","St. Catharines-Niagara, Ontario","House only","32.9"
"1984-09","St. Catharines-Niagara, Ontario","Land only","41.7"
"1984-09","Kitchener-Cambridge-Waterloo, Ontario","Total (house and land)","39.6"
"1984-09","Kitchener-Cambridge-Waterloo, Ontario","House only","35.9"
"1984-09","Kitchener-Cambridge-Waterloo, Ontario","Land only","49.0"
"1984-09","Guelph, Ontario","Total (house and land)",""
"1984-09","Guelph, Ontario","House only",""
"1984-09","Guelph, Ontario","Land only",""
"1984-09","London, Ontario","Total (house and land)","36.4"
"1984-09","London, Ontario","House only","32.1"
"1984-09","London, Ontario","Land only","51.3"
"1984-09","Windsor, Ontario","Total (house and land)","59.1"
"1984-09","Windsor, Ontario","House only","63.9"
"1984-09","Windsor, Ontario","Land only","42.5"
"1984-09","Greater Sudbury, Ontario","Total (house and land)","62.1"
"1984-09","Greater Sudbury, Ontario","House only","63.9"
"1984-09","Greater Sudbury, Ontario","Land only","55.4"
"1984-09","Prairie Region","Total (house and land)",""
"1984-09","Prairie Region","House only",""
"1984-09","Prairie Region","Land only",""
"1984-09","Manitoba","Total (house and land)",""
"1984-09","Manitoba","House only",""
"1984-09","Manitoba","Land only",""
"1984-09","Winnipeg, Manitoba","Total (house and land)","32.1"
"1984-09","Winnipeg, Manitoba","House only","35.4"
"1984-09","Winnipeg, Manitoba","Land only","24.1"
"1984-09","Saskatchewan","Total (house and land)",""
"1984-09","Saskatchewan","House only",""
"1984-09","Saskatchewan","Land only",""
"1984-09","Regina, Saskatchewan","Total (house and land)","23.1"
"1984-09","Regina, Saskatchewan","House only","22.7"
"1984-09","Regina, Saskatchewan","Land only","24.0"
"1984-09","Saskatoon, Saskatchewan","Total (house and land)","34.7"
"1984-09","Saskatoon, Saskatchewan","House only","37.1"
"1984-09","Saskatoon, Saskatchewan","Land only","29.3"
"1984-09","Alberta","Total (house and land)",""
"1984-09","Alberta","House only",""
"1984-09","Alberta","Land only",""
"1984-09","Calgary, Alberta","Total (house and land)","21.6"
"1984-09","Calgary, Alberta","House only","22.6"
"1984-09","Calgary, Alberta","Land only","18.8"
"1984-09","Edmonton, Alberta","Total (house and land)","31.0"
"1984-09","Edmonton, Alberta","House only","33.0"
"1984-09","Edmonton, Alberta","Land only","25.8"
"1984-09","British Columbia","Total (house and land)",""
"1984-09","British Columbia","House only",""
"1984-09","British Columbia","Land only",""
"1984-09","Kelowna, British Columbia","Total (house and land)",""
"1984-09","Kelowna, British Columbia","House only",""
"1984-09","Kelowna, British Columbia","Land only",""
"1984-09","Vancouver, British Columbia","Total (house and land)","66.2"
"1984-09","Vancouver, British Columbia","House only","76.0"
"1984-09","Vancouver, British Columbia","Land only","54.3"
"1984-09","Victoria, British Columbia","Total (house and land)","99.7"
"1984-09","Victoria, British Columbia","House only","175.8"
"1984-09","Victoria, British Columbia","Land only","33.9"
"1984-10","Canada","Total (house and land)","37.9"
"1984-10","Canada","House only","37.2"
"1984-10","Canada","Land only","37.2"
"1984-10","Atlantic Region","Total (house and land)",""
"1984-10","Atlantic Region","House only",""
"1984-10","Atlantic Region","Land only",""
"1984-10","Newfoundland and Labrador","Total (house and land)",""
"1984-10","Newfoundland and Labrador","House only",""
"1984-10","Newfoundland and Labrador","Land only",""
"1984-10","St. John's, Newfoundland and Labrador","Total (house and land)","38.0"
"1984-10","St. John's, Newfoundland and Labrador","House only","38.9"
"1984-10","St. John's, Newfoundland and Labrador","Land only","34.2"
"1984-10","Prince Edward Island","Total (house and land)",""
"1984-10","Prince Edward Island","House only",""
"1984-10","Prince Edward Island","Land only",""
"1984-10","Charlottetown, Prince Edward Island","Total (house and land)",""
"1984-10","Charlottetown, Prince Edward Island","House only",""
"1984-10","Charlottetown, Prince Edward Island","Land only",""
"1984-10","Nova Scotia","Total (house and land)",""
"1984-10","Nova Scotia","House only",""
"1984-10","Nova Scotia","Land only",""
"1984-10","Halifax, Nova Scotia","Total (house and land)","48.2"
"1984-10","Halifax, Nova Scotia","House only","48.7"
"1984-10","Halifax, Nova Scotia","Land only","45.4"
"1984-10","New Brunswick","Total (house and land)",""
"1984-10","New Brunswick","House only",""
"1984-10","New Brunswick","Land only",""
"1984-10","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","64.4"
"1984-10","Saint John, Fredericton, and Moncton, New Brunswick","House only","69.2"
"1984-10","Saint John, Fredericton, and Moncton, New Brunswick","Land only","48.8"
"1984-10","Quebec","Total (house and land)",""
"1984-10","Quebec","House only",""
"1984-10","Quebec","Land only",""
"1984-10","Québec, Quebec","Total (house and land)","37.6"
"1984-10","Québec, Quebec","House only","43.7"
"1984-10","Québec, Quebec","Land only","24.6"
"1984-10","Sherbrooke, Quebec","Total (house and land)",""
"1984-10","Sherbrooke, Quebec","House only",""
"1984-10","Sherbrooke, Quebec","Land only",""
"1984-10","Trois-Rivières, Quebec","Total (house and land)",""
"1984-10","Trois-Rivières, Quebec","House only",""
"1984-10","Trois-Rivières, Quebec","Land only",""
"1984-10","Montréal, Quebec","Total (house and land)","35.9"
"1984-10","Montréal, Quebec","House only","36.9"
"1984-10","Montréal, Quebec","Land only","32.3"
"1984-10","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1984-10","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1984-10","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
"1984-10","Ontario","Total (house and land)",""
"1984-10","Ontario","House only",""
"1984-10","Ontario","Land only",""
"1984-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Total (house and land)","43.5"
"1984-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","House only","42.4"
"1984-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Land only","50.3"
"1984-10","Oshawa, Ontario","Total (house and land)",""
"1984-10","Oshawa, Ontario","House only",""
"1984-10","Oshawa, Ontario","Land only",""
"1984-10","Toronto, Ontario","Total (house and land)","30.8"
"1984-10","Toronto, Ontario","House only","26.5"
"1984-10","Toronto, Ontario","Land only","38.9"
"1984-10","Hamilton, Ontario","Total (house and land)","37.6"
"1984-10","Hamilton, Ontario","House only","31.9"
"1984-10","Hamilton, Ontario","Land only","52.8"
"1984-10","St. Catharines-Niagara, Ontario","Total (house and land)","35.3"
"1984-10","St. Catharines-Niagara, Ontario","House only","32.9"
"1984-10","St. Catharines-Niagara, Ontario","Land only","41.7"
"1984-10","Kitchener-Cambridge-Waterloo, Ontario","Total (house and land)","39.7"
"1984-10","Kitchener-Cambridge-Waterloo, Ontario","House only","36.0"
"1984-10","Kitchener-Cambridge-Waterloo, Ontario","Land only","49.0"
"1984-10","Guelph, Ontario","Total (house and land)",""
"1984-10","Guelph, Ontario","House only",""
"1984-10","Guelph, Ontario","Land only",""
"1984-10","London, Ontario","Total (house and land)","36.4"
"1984-10","London, Ontario","House only","32.1"
"1984-10","London, Ontario","Land only","51.3"
"1984-10","Windsor, Ontario","Total (house and land)","58.7"
"1984-10","Windsor, Ontario","House only","63.4"
"1984-10","Windsor, Ontario","Land only","42.5"
"1984-10","Greater Sudbury, Ontario","Total (house and land)","62.1"
"1984-10","Greater Sudbury, Ontario","House only","63.9"
"1984-10","Greater Sudbury, Ontario","Land only","55.4"
"1984-10","Prairie Region","Total (house and land)",""
"1984-10","Prairie Region","House only",""
"1984-10","Prairie Region","Land only",""
"1984-10","Manitoba","Total (house and land)",""
"1984-10","Manitoba","House only",""
"1984-10","Manitoba","Land only",""
"1984-10","Winnipeg, Manitoba","Total (house and land)","32.1"
"1984-10","Winnipeg, Manitoba","House only","35.4"
"1984-10","Winnipeg, Manitoba","Land only","24.1"
"1984-10","Saskatchewan","Total (house and land)",""
"1984-10","Saskatchewan","House only",""
"1984-10","Saskatchewan","Land only",""
"1984-10","Regina, Saskatchewan","Total (house and land)","23.2"
"1984-10","Regina, Saskatchewan","House only","22.9"
"1984-10","Regina, Saskatchewan","Land only","24.0"
"1984-10","Saskatoon, Saskatchewan","Total (house and land)","34.8"
"1984-10","Saskatoon, Saskatchewan","House only","37.1"
"1984-10","Saskatoon, Saskatchewan","Land only","29.8"
"1984-10","Alberta","Total (house and land)",""
"1984-10","Alberta","House only",""
"1984-10","Alberta","Land only",""
"1984-10","Calgary, Alberta","Total (house and land)","21.6"
"1984-10","Calgary, Alberta","House only","22.6"
"1984-10","Calgary, Alberta","Land only","18.8"
"1984-10","Edmonton, Alberta","Total (house and land)","31.0"
"1984-10","Edmonton, Alberta","House only","33.0"
"1984-10","Edmonton, Alberta","Land only","25.8"
"1984-10","British Columbia","Total (house and land)",""
"1984-10","British Columbia","House only",""
"1984-10","British Columbia","Land only",""
"1984-10","Kelowna, British Columbia","Total (house and land)",""
"1984-10","Kelowna, British Columbia","House only",""
"1984-10","Kelowna, British Columbia","Land only",""
"1984-10","Vancouver, British Columbia","Total (house and land)","65.6"
"1984-10","Vancouver, British Columbia","House only","75.7"
"1984-10","Vancouver, British Columbia","Land only","53.4"
"1984-10","Victoria, British Columbia","Total (house and land)","98.3"
"1984-10","Victoria, British Columbia","House only","172.6"
"1984-10","Victoria, British Columbia","Land only","33.9"
"1984-11","Canada","Total (house and land)","37.8"
"1984-11","Canada","House only","37.2"
"1984-11","Canada","Land only","37.0"
"1984-11","Atlantic Region","Total (house and land)",""
"1984-11","Atlantic Region","House only",""
"1984-11","Atlantic Region","Land only",""
"1984-11","Newfoundland and Labrador","Total (house and land)",""
"1984-11","Newfoundland and Labrador","House only",""
"1984-11","Newfoundland and Labrador","Land only",""
"1984-11","St. John's, Newfoundland and Labrador","Total (house and land)","38.1"
"1984-11","St. John's, Newfoundland and Labrador","House only","38.9"
"1984-11","St. John's, Newfoundland and Labrador","Land only","34.5"
"1984-11","Prince Edward Island","Total (house and land)",""
"1984-11","Prince Edward Island","House only",""
"1984-11","Prince Edward Island","Land only",""
"1984-11","Charlottetown, Prince Edward Island","Total (house and land)",""
"1984-11","Charlottetown, Prince Edward Island","House only",""
"1984-11","Charlottetown, Prince Edward Island","Land only",""
"1984-11","Nova Scotia","Total (house and land)",""
"1984-11","Nova Scotia","House only",""
"1984-11","Nova Scotia","Land only",""
"1984-11","Halifax, Nova Scotia","Total (house and land)","48.3"
"1984-11","Halifax, Nova Scotia","House only","48.9"
"1984-11","Halifax, Nova Scotia","Land only","45.4"
"1984-11","New Brunswick","Total (house and land)",""
"1984-11","New Brunswick","House only",""
"1984-11","New Brunswick","Land only",""
"1984-11","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","66.6"
"1984-11","Saint John, Fredericton, and Moncton, New Brunswick","House only","71.3"
"1984-11","Saint John, Fredericton, and Moncton, New Brunswick","Land only","51.2"
"1984-11","Quebec","Total (house and land)",""
"1984-11","Quebec","House only",""
"1984-11","Quebec","Land only",""
"1984-11","Québec, Quebec","Total (house and land)","37.6"
"1984-11","Québec, Quebec","House only","43.7"
"1984-11","Québec, Quebec","Land only","24.6"
"1984-11","Sherbrooke, Quebec","Total (house and land)",""
"1984-11","Sherbrooke, Quebec","House only",""
"1984-11","Sherbrooke, Quebec","Land only",""
"1984-11","Trois-Rivières, Quebec","Total (house and land)",""
"1984-11","Trois-Rivières, Quebec","House only",""
"1984-11","Trois-Rivières, Quebec","Land only",""
"1984-11","Montréal, Quebec","Total (house and land)","36.0"
"1984-11","Montréal, Quebec","House only","37.0"
"1984-11","Montréal, Quebec","Land only","32.6"
"1984-11","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1984-11","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1984-11","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
"1984-11","Ontario","Total (house and land)",""
"1984-11","Ontario","House only",""
"1984-11","Ontario","Land only",""
"1984-11","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Total (house and land)","43.6"
"1984-11","Ottawa-Gatineau, Ontario part, Ontario/Quebec","House only","42.5"
"1984-11","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Land only","50.3"
"1984-11","Oshawa, Ontario","Total (house and land)",""
"1984-11","Oshawa, Ontario","House only",""
"1984-11","Oshawa, Ontario","Land only",""
"1984-11","Toronto, Ontario","Total (house and land)","30.8"
"1984-11","Toronto, Ontario","House only","26.5"
"1984-11","Toronto, Ontario","Land only","38.9"
"1984-11","Hamilton, Ontario","Total (house and land)","37.9"
"1984-11","Hamilton, Ontario","House only","32.1"
"1984-11","Hamilton, Ontario","Land only","53.3"
"1984-11","St. Catharines-Niagara, Ontario","Total (house and land)","35.9"
"1984-11","St. Catharines-Niagara, Ontario","House only","33.6"
"1984-11","St. Catharines-Niagara, Ontario","Land only","41.7"
"1984-11","Kitchener-Cambridge-Waterloo, Ontario","Total (house and land)","39.7"
"1984-11","Kitchener-Cambridge-Waterloo, Ontario","House only","36.0"
"1984-11","Kitchener-Cambridge-Waterloo, Ontario","Land only","49.0"
"1984-11","Guelph, Ontario","Total (house and land)",""
"1984-11","Guelph, Ontario","House only",""
"1984-11","Guelph, Ontario","Land only",""
"1984-11","London, Ontario","Total (house and land)","36.5"
"1984-11","London, Ontario","House only","32.1"
"1984-11","London, Ontario","Land only","51.3"
"1984-11","Windsor, Ontario","Total (house and land)","58.9"
"1984-11","Windsor, Ontario","House only","63.8"
"1984-11","Windsor, Ontario","Land only","42.5"
"1984-11","Greater Sudbury, Ontario","Total (house and land)","62.2"
"1984-11","Greater Sudbury, Ontario","House only","64.0"
"1984-11","Greater Sudbury, Ontario","Land only","55.4"
"1984-11","Prairie Region","Total (house and land)",""
"1984-11","Prairie Region","House only",""
"1984-11","Prairie Region","Land only",""
"1984-11","Manitoba","Total (house and land)",""
"1984-11","Manitoba","House only",""
"1984-11","Manitoba","Land only",""
"1984-11","Winnipeg, Manitoba","Total (house and land)","32.1"
"1984-11","Winnipeg, Manitoba","House only","35.4"
"1984-11","Winnipeg, Manitoba","Land only","24.1"
"1984-11","Saskatchewan","Total (house and land)",""
"1984-11","Saskatchewan","House only",""
"1984-11","Saskatchewan","Land only",""
"1984-11","Regina, Saskatchewan","Total (house and land)","23.2"
"1984-11","Regina, Saskatchewan","House only","22.9"
"1984-11","Regina, Saskatchewan","Land only","24.0"
"1984-11","Saskatoon, Saskatchewan","Total (house and land)","34.8"
"1984-11","Saskatoon, Saskatchewan","House only","37.1"
"1984-11","Saskatoon, Saskatchewan","Land only","29.8"
"1984-11","Alberta","Total (house and land)",""
"1984-11","Alberta","House only",""
"1984-11","Alberta","Land only",""
"1984-11","Calgary, Alberta","Total (house and land)","21.7"
"1984-11","Calgary, Alberta","House only","22.7"
"1984-11","Calgary, Alberta","Land only","18.8"
"1984-11","Edmonton, Alberta","Total (house and land)","29.8"
"1984-11","Edmonton, Alberta","House only","32.0"
"1984-11","Edmonton, Alberta","Land only","24.4"
"1984-11","British Columbia","Total (house and land)",""
"1984-11","British Columbia","House only",""
"1984-11","British Columbia","Land only",""
"1984-11","Kelowna, British Columbia","Total (house and land)",""
"1984-11","Kelowna, British Columbia","House only",""
"1984-11","Kelowna, British Columbia","Land only",""
"1984-11","Vancouver, British Columbia","Total (house and land)","65.2"
"1984-11","Vancouver, British Columbia","House only","75.1"
"1984-11","Vancouver, British Columbia","Land only","53.1"
"1984-11","Victoria, British Columbia","Total (house and land)","97.8"
"1984-11","Victoria, British Columbia","House only","175.0"
"1984-11","Victoria, British Columbia","Land only","32.3"
"1984-12","Canada","Total (house and land)","37.9"
"1984-12","Canada","House only","37.3"
"1984-12","Canada","Land only","37.0"
"1984-12","Atlantic Region","Total (house and land)",""
"1984-12","Atlantic Region","House only",""
"1984-12","Atlantic Region","Land only",""
"1984-12","Newfoundland and Labrador","Total (house and land)",""
"1984-12","Newfoundland and Labrador","House only",""
"1984-12","Newfoundland and Labrador","Land only",""
"1984-12","St. John's, Newfoundland and Labrador","Total (house and land)","38.3"
"1984-12","St. John's, Newfoundland and Labrador","House only","39.3"
"1984-12","St. John's, Newfoundland and Labrador","Land only","34.3"
"1984-12","Prince Edward Island","Total (house and land)",""
"1984-12","Prince Edward Island","House only",""
"1984-12","Prince Edward Island","Land only",""
"1984-12","Charlottetown, Prince Edward Island","Total (house and land)",""
"1984-12","Charlottetown, Prince Edward Island","House only",""
"1984-12","Charlottetown, Prince Edward Island","Land only",""
"1984-12","Nova Scotia","Total (house and land)",""
"1984-12","Nova Scotia","House only",""
"1984-12","Nova Scotia","Land only",""
"1984-12","Halifax, Nova Scotia","Total (house and land)","48.4"
"1984-12","Halifax, Nova Scotia","House only","48.8"
